iter	Passed	Remaining
894	1656	194
895	1658	192
896	1659	190
897	1660	188
898	1664	186
899	1664	184
900	1665	183
901	1666	181
902	1667	179
903	1669	177
904	1670	175
905	1671	173
906	1671	171
907	1672	169
908	1674	167
909	1675	165
910	1676	163
911	1677	161
912	1678	159
913	1680	158
914	1681	156
915	1682	154
916	1683	152
917	1684	150
918	1686	148
919	1687	146
920	1687	144
921	1688	142
922	1689	140
923	1691	139
924	1692	137
925	1693	135
926	1694	133
927	1694	131
928	1697	129
929	1698	127
930	1699	125
931	1700	124
932	1701	122
933	1702	120
934	1702	118
935	1703	116
936	1704	114
937	1707	112
938	1708	111
939	1709	109
940	1710	107
941	1712	105
942	1713	103
943	1714	101
944	1715	99
945	1720	98
946	1721	96
947	1724	94
948	1726	92
949	1727	90
950	1730	89
951	1731	87
952	1733	85
953	1736	83
954	1738	81
955	1739	80
956	1740	78
957	1741	76
958	1745	74
959	1746	72
960	1747	70
961	1748	69
962	1750	67
963	1751	65
964	1752	63
965	1753	61
966	1754	59
967	1755	58
968	1756	56
969	1757	54
970	1757	52
971	1759	50
972	1760	48
973	1761	47
974	1762	45
975	1763	43
976	1763	41
977	1766	39
978	1775	38
979	1778	36
980	1780	34
981	1781	32
982	1784	30
983	1785	29
984	1786	27
985	1789	25
986	1790	23
987	1791	21
988	1792	19
989	1794	18
990	1795	16
991	1796	14
992	1797	12
993	1799	10
994	1800	9
995	1801	7
996	1802	5
997	1803	3
998	1805	1
999	1806	0
